path,casename,plot_type,varname,spatial_op,time_coarsen_len,z_t,depth_level,z_t_150m,log_10,time_range,time
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/CaCO3_FLUX_100m+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,CaCO3_FLUX_100m,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/DpCO2+spatial_op@average+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,DpCO2,average,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/FG_CO2+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,FG_CO2,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/NH4+spatial_op@average+time_coarsen_len@12+z_t@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,NH4,average,12,500.0,500.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/NHx_SURFACE_EMIS+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,NHx_SURFACE_EMIS,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/NO3+spatial_op@average+time_coarsen_len@12+z_t@35109.34765625.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,NO3,average,12,35109.34765625,35109.34765625,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/NO3+spatial_op@average+time_coarsen_len@12+z_t@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,NO3,average,12,500.0,500.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/O2+spatial_op@average+time_coarsen_len@12+z_t@35109.34765625.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,O2,average,12,35109.34765625,35109.34765625,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/O2_ZMIN+spatial_op@average+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,O2_ZMIN,average,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/O2_ZMIN_DEPTH+spatial_op@average+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,O2_ZMIN_DEPTH,average,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/PH+spatial_op@average+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,PH,average,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/PO4+spatial_op@average+time_coarsen_len@12+z_t@35109.34765625.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,PO4,average,12,35109.34765625,35109.34765625,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/PO4+spatial_op@average+time_coarsen_len@12+z_t@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,PO4,average,12,500.0,500.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/POC_FLUX_100m+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,POC_FLUX_100m,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/SiO3+spatial_op@average+time_coarsen_len@12+z_t@35109.34765625.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,SiO3,average,12,35109.34765625,35109.34765625,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/SiO3+spatial_op@average+time_coarsen_len@12+z_t@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,SiO3,average,12,500.0,500.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/coccoChl+spatial_op@average+time_coarsen_len@12+z_t_150m@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,coccoChl,average,12,,500.0,500.0,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/diatChl+spatial_op@average+time_coarsen_len@12+z_t_150m@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,diatChl,average,12,,500.0,500.0,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/diazChl+spatial_op@average+time_coarsen_len@12+z_t_150m@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,diazChl,average,12,,500.0,500.0,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/photoC_cocco_zint+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,photoC_cocco_zint,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/photoC_diat_zint+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,photoC_diat_zint,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/photoC_diaz_zint+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,photoC_diaz_zint,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/photoC_sp_zint+spatial_op@integrate+time_coarsen_len@12.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,photoC_sp_zint,integrate,12,,-9999.0,,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/global-timeseries/spChl+spatial_op@average+time_coarsen_len@12+z_t_150m@500.0.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,global-timeseries,spChl,average,12,,500.0,500.0,False,,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/histogram/CaCO3_FLUX_100m+lines_per_plot@12+log_10@True+time_range@0001-01-16-0001-12-16.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,histogram,CaCO3_FLUX_100m,,,,-9999.0,,True,0001-01-16-0001-12-16,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/histogram/CaCO3_FLUX_100m+lines_per_plot@12+log_10@True+time_range@0002-01-16-0002-12-16.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,histogram,CaCO3_FLUX_100m,,,,-9999.0,,True,0002-01-16-0002-12-16,
s3://ncar-cesm-pop-test/images/g.e22.G1850ECO_JRA_HR.TL319_t13.003/histogram/CaCO3_FLUX_100m+lines_per_plot@12+log_10@True+time_range@0003-01-16-0003-12-16.png,g.e22.G1850ECO_JRA_HR.TL319_t13.003,histogram,CaCO3_FLUX_100m,,,,-9999.0,,True,0003-01-16-0003-12-16,
